                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4873,                0.92437,                 1.1115,                0.80448,                0.60848,                0.65277,                0.25542,                 2.0585,                 1.2382,                 1.5082,               0.006733,               0.006733,               0.006733
                     35,                 1.4598,                0.87814,                 1.1028,                0.83772,                0.53791,                  0.638,                0.24298,                 2.0215,                  1.261,                 1.4682,               0.006634,               0.006634,               0.006634
                     36,                 1.4411,                0.88225,                 1.0921,                0.74719,                0.59353,                0.63104,                0.26444,                 1.9618,                 1.2028,                 1.4486,               0.006535,               0.006535,               0.006535
                     37,                  1.477,                0.91111,                 1.1092,                0.83891,                0.60756,                0.66952,                0.26411,                 2.0696,                 1.1532,                 1.4711,               0.006436,               0.006436,               0.006436
                     38,                 1.4385,                0.88369,                 1.0878,                0.75767,                0.63512,                0.61934,                0.25142,                 2.0009,                 1.1696,                 1.4346,               0.006337,               0.006337,               0.006337
                     39,                 1.4135,                0.86107,                 1.0835,                0.67747,                0.63973,                0.60983,                0.24828,                  2.048,                 1.2184,                 1.5101,               0.006238,               0.006238,               0.006238
                     40,                 1.4492,                  0.874,                 1.0943,                0.71441,                0.62847,                0.61707,                0.25112,                 2.0297,                 1.2306,                 1.4945,               0.006139,               0.006139,               0.006139
                     41,                 1.4229,                0.88309,                 1.0779,                0.79834,                0.60318,                0.63219,                0.25409,                 2.0508,                 1.2415,                 1.4745,                0.00604,                0.00604,                0.00604
                     42,                 1.4242,                0.87859,                  1.096,                0.81264,                0.57246,                0.63138,                0.25496,                 2.0896,                 1.2029,                 1.4661,               0.005941,               0.005941,               0.005941
                     43,                 1.4084,                0.86989,                 1.0827,                0.67775,                0.63058,                0.60362,                0.24538,                 2.0001,                 1.1776,                 1.4175,               0.005842,               0.005842,               0.005842
                     44,                 1.3928,                0.86585,                 1.0972,                0.74389,                 0.6221,                  0.622,                0.24572,                 2.0338,                 1.2132,                 1.4483,               0.005743,               0.005743,               0.005743
                     45,                 1.4369,                0.87721,                 1.1071,                0.70726,                0.62924,                0.64797,                0.24732,                  2.038,                 1.2128,                 1.5248,               0.005644,               0.005644,               0.005644
                     46,                 1.4053,                0.85292,                 1.0845,                0.77249,                0.65201,                0.68172,                0.27148,                 2.0216,                 1.1559,                 1.4777,               0.005545,               0.005545,               0.005545
                     47,                 1.3749,                0.83903,                 1.0779,                0.73338,                0.64554,                0.63909,                0.26939,                 2.0352,                  1.176,                 1.4945,               0.005446,               0.005446,               0.005446
                     48,                 1.3481,                0.83217,                 1.0733,                0.79234,                0.56244,                0.61954,                0.25295,                  2.083,                 1.2493,                 1.5262,               0.005347,               0.005347,               0.005347
                     49,                 1.3675,                 0.8315,                  1.067,                 0.8408,                0.60117,                 0.6518,                 0.2635,                 1.9922,                 1.2493,                 1.4572,               0.005248,               0.005248,               0.005248
                     50,                 1.3394,                0.82174,                 1.0593,                 0.8184,                0.57387,                0.61482,                0.25871,                 2.0119,                 1.1934,                 1.4695,               0.005149,               0.005149,               0.005149
                     51,                 1.3308,                0.82929,                 1.0575,                0.73619,                0.62924,                0.64959,                0.25571,                 2.0863,                 1.1652,                 1.5132,                0.00505,                0.00505,                0.00505
                     52,                 1.3615,                0.81248,                 1.0711,                0.76175,                0.65982,                0.68721,                0.27073,                 2.0617,                 1.0969,                  1.483,               0.004951,               0.004951,               0.004951
                     53,                 1.3427,                0.81786,                 1.0647,                0.78202,                0.69107,                0.70611,                0.27909,                   2.04,                  1.153,                 1.4802,               0.004852,               0.004852,               0.004852
                     54,                 1.2794,                0.77951,                 1.0493,                0.81542,                 0.6401,                0.71021,                0.27489,                  2.078,                 1.1957,                 1.5348,               0.004753,               0.004753,               0.004753
                     55,                 1.3272,                0.83259,                 1.0688,                0.80465,                0.63973,                0.70439,                0.29489,                 1.9696,                 1.1339,                 1.4819,               0.004654,               0.004654,               0.004654
                     56,                 1.2985,                0.80408,                 1.0545,                0.75017,                0.64621,                0.66815,                0.27999,                   2.01,                 1.1427,                 1.5355,               0.004555,               0.004555,               0.004555
                     57,                 1.3197,                 0.7882,                   1.06,                0.77461,                0.62277,                0.66566,                0.26321,                 2.1129,                 1.1675,                 1.5403,               0.004456,               0.004456,               0.004456
                     58,                 1.3457,                0.82272,                 1.0808,                0.80967,                0.60468,                0.65734,                0.25276,                 2.1122,                 1.1628,                 1.5369,               0.004357,               0.004357,               0.004357
                     59,                 1.2999,                0.79415,                 1.0436,                0.84856,                0.53638,                0.65981,                0.25158,                 2.0965,                 1.2493,                 1.4973,               0.004258,               0.004258,               0.004258
                     60,                  1.271,                0.78943,                 1.0503,                0.66692,                0.61497,                0.60982,                0.24462,                 2.1142,                 1.2179,                 1.5265,               0.004159,               0.004159,               0.004159
                     61,                 1.2624,                0.76978,                  1.037,                 0.7248,                0.65982,                0.65539,                0.26778,                 2.0521,                 1.2235,                 1.5324,                0.00406,                0.00406,                0.00406
                     62,                 1.2888,                0.78968,                 1.0358,                0.68617,                0.63801,                0.61146,                0.25755,                 2.0887,                 1.2242,                 1.5406,               0.003961,               0.003961,               0.003961
                     63,                 1.2365,                0.75727,                 1.0192,                0.77674,                0.62059,                  0.635,                 0.2578,                 2.0806,                 1.1971,                 1.5509,               0.003862,               0.003862,               0.003862
                     64,                 1.2401,                 0.7691,                 1.0265,                0.72472,                0.63259,                0.65166,                0.28048,                 1.9988,                 1.1188,                 1.4564,               0.003763,               0.003763,               0.003763
                     65,                 1.2183,                0.74342,                 1.0094,                0.78224,                 0.5942,                0.65778,                 0.2713,                 2.0617,                 1.2011,                 1.4682,               0.003664,               0.003664,               0.003664
                     66,                  1.239,                0.74147,                 1.0236,                0.83236,                0.59338,                0.65754,                0.26849,                  2.041,                  1.209,                 1.4423,               0.003565,               0.003565,               0.003565
                     67,                 1.2389,                0.75787,                 1.0245,                0.77305,                0.60201,                0.65874,                0.28556,                 2.0409,                 1.2048,                 1.5085,               0.003466,               0.003466,               0.003466
                     68,                 1.2191,                0.75816,                 1.0123,                0.75957,                0.61849,                0.66653,                0.28301,                 2.0309,                 1.1524,                  1.479,               0.003367,               0.003367,               0.003367
